Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-07-31,4211.00000,2388.00000,1823.00000,-1414.00000,1414.00000,409.00000,-50.00000,359.00000,101.00000,258.00000,258.00000,258.00000,537.00000,409.00000,378.00000,386.00000,0.68000,0.67000,1.69650,0.42370,0.73510,43.29140,9.71270,9.71270,8.52530,6.12680,0.30610,1.04690,8.54300,8.54300,1.87510,4.92370,8.03190,1.1687,0.7939
2021-04-30,3991.00000,2361.00000,1630.00000,-1390.00000,1390.00000,240.00000,-53.00000,187.00000,21.00000,166.00000,166.00000,166.00000,364.00000,240.00000,376.00000,385.00000,0.44000,0.43000,1.64980,0.44150,0.79040,40.84190,6.01350,6.01350,4.68550,4.15940,0.29340,0.99620,5.91590,5.91590,1.22020,3.30410,7.44300,0.88310,0.56100
2021-01-31,4424.00000,2756.00000,1668.00000,-1534.00000,1534.00000,134.00000,-57.00000,77.00000,-157.00000,234.00000,234.00000,234.00000,295.00000,134.00000,374.00000,374.00000,0.65000,0.65000,1.54690,0.45880,0.84770,37.70340,3.02890,3.02890,1.74050,5.28930,0.32130,1.12440,8.95180,8.95180,1.69950,4.84470,6.98930,-0.4163,-0.7065
2020-10-31,3994.00000,2374.00000,1620.00000,-1445.00000,1445.00000,175.00000,-54.00000,121.00000,26.00000,95.00000,95.00000,95.00000,304.00000,175.00000,374.00000,380.00000,0.25000,0.25000,1.43580,0.48290,0.93380,40.56080,4.38160,4.38160,3.02950,2.37860,0.27790,0.86420,4.00670,4.00670,0.66100,2.07200,6.33960,1.2826,1.0809
2020-07-31,3275.00000,2126.00000,1149.00000,-1076.00000,1076.00000,73.00000,-114.00000,-41.00000,21.00000,-62.00000,-62.00000,-62.00000,203.00000,73.00000,374.00000,374.00000,-0.17000,-0.17000,1.46260,0.49540,0.98180,35.08400,2.22900,2.22900,-1.25190,-1.89310,0.23880,0.94830,-2.75190,-2.75190,-0.45200,-1.38860,6.02410,2.2943,2.066
2020-04-30,2107.00000,1839.00000,268.00000,-1512.00000,1512.00000,-1244.00000,-15.00000,-1259.00000,-327.00000,-932.00000,-932.00000,-932.00000,-1114.00000,-1244.00000,372.00000,372.00000,-2.51000,-2.51000,1.22880,0.35040,0.75530,12.71950,-59.04130,-59.04130,-59.75320,-44.23350,0.16580,0.82950,-40.22440,-40.22440,-7.33280,-26.12840,6.21180,-2.52690,-2.85480
2020-01-31,4674.00000,3000.00000,1674.00000,-1919.00000,1919.00000,-245.00000,-9.00000,-254.00000,-70.00000,-184.00000,-184.00000,-184.00000,-104.00000,-245.00000,376.00000,378.00000,-0.48000,-0.48000,1.40730,0.27360,0.37670,35.81520,-5.24180,-5.24180,-5.43430,-3.93670,0.34170,1.39150,-5.54890,-5.54890,-1.34510,-4.03070,8.93800,2.3285,1.8641
2019-10-31,3998.00000,2439.00000,1559.00000,-1338.00000,1338.00000,221.00000,-12.00000,209.00000,69.00000,140.00000,140.00000,140.00000,361.00000,221.00000,375.00000,376.00000,0.37000,0.37000,1.43230,0.25580,0.34370,38.99450,5.52780,5.52780,5.22760,3.50180,0.28320,0.89670,3.85250,3.85250,0.99160,2.86710,9.74260,-0.134,-0.6726
2019-07-31,4005.00000,2449.00000,1556.00000,-1274.00000,1274.00000,282.00000,-11.00000,271.00000,103.00000,168.00000,168.00000,168.00000,422.00000,282.00000,378.00000,379.00000,0.44000,0.44000,1.45720,0.25630,0.34460,38.85140,7.04120,7.04120,6.76650,4.19480,0.28520,1.05290,4.63450,4.63450,1.19630,3.44690,9.64100,1.4622,1.0386
2019-04-30,3706.00000,2362.00000,1344.00000,-1028.00000,1028.00000,316.00000,-14.00000,302.00000,75.00000,227.00000,227.00000,227.00000,454.00000,316.00000,379.00000,381.00000,0.60000,0.60000,1.48780,0.25910,0.34980,36.26550,8.52670,8.52670,8.14890,6.12520,0.27210,1.05350,6.35680,6.35680,1.66670,4.70950,9.44710,0.07610,-0.67980
2019-01-31,4623.00000,2978.00000,1645.00000,-1273.00000,1273.00000,372.00000,-7.00000,365.00000,89.00000,276.00000,276.00000,276.00000,511.00000,372.00000,385.00000,388.00000,0.73000,0.72000,1.95540,0.26010,0.35150,35.58300,8.04670,8.04670,7.89530,5.97010,0.57440,1.39750,7.76810,7.76810,3.42900,5.74760,9.39950,2.0942,1.595
2018-10-31,4089.00000,2466.00000,1623.00000,-1260.00000,1260.00000,363.00000,-13.00000,350.00000,84.00000,266.00000,266.00000,266.00000,492.00000,363.00000,384.00000,387.00000,0.69000,0.69000,1.96990,0.26640,0.36310,39.69190,8.87750,8.87750,8.55960,6.50530,0.50030,0.92430,7.73260,7.73260,3.25460,5.67290,9.00520,0.0651,-0.4168
2018-07-31,4085.00000,2458.00000,1627.00000,-1229.00000,1229.00000,398.00000,-10.00000,388.00000,91.00000,297.00000,297.00000,297.00000,523.00000,398.00000,387.00000,390.00000,0.77000,0.76000,1.96070,0.27220,0.37400,39.82860,9.74300,9.74300,9.49820,7.27050,0.51000,1.11630,8.89220,8.89220,3.70790,6.47200,8.67530,1.5679,1.0832
2018-04-30,3783.00000,2356.00000,1427.00000,-1198.00000,1198.00000,229.00000,-10.00000,219.00000,55.00000,164.00000,164.00000,164.00000,355.00000,229.00000,389.00000,393.00000,0.42000,0.42000,2.03450,0.28090,0.39070,37.72140,6.05340,6.05340,5.78910,4.33520,0.49870,1.15770,5.12980,5.12980,2.16220,3.68870,8.26100,-0.16790,-0.51910
2018-01-31,4778.00000,3019.00000,1759.00000,-1363.00000,1363.00000,396.00000,-13.00000,383.00000,178.00000,205.00000,205.00000,205.00000,523.00000,396.00000,393.00000,396.00000,0.52000,0.52000,1.85620,0.28430,0.39730,36.81460,8.28800,8.28800,8.01590,4.29050,0.59810,1.51180,6.52040,6.52040,2.56600,4.66650,8.08230,1.9581,1.2903
2017-10-31,3838.00000,2313.00000,1525.00000,-1147.00000,1147.00000,378.00000,-14.00000,364.00000,135.00000,229.00000,229.00000,229.00000,501.00000,378.00000,391.00000,393.00000,0.59000,0.58000,1.72690,0.29210,0.41270,39.73420,9.84890,9.84890,9.48410,5.96660,0.48610,0.93420,7.57280,7.57280,2.90060,5.36050,7.77380,0.2994,-0.1842
2017-07-31,3799.00000,2320.00000,1479.00000,-1028.00000,1028.00000,451.00000,-12.00000,439.00000,168.00000,271.00000,271.00000,271.00000,577.00000,451.00000,395.00000,396.00000,0.69000,0.68000,1.77490,0.29760,0.42380,38.93130,11.87150,11.87150,11.55570,7.13350,0.49880,1.13120,9.20200,9.20200,3.55780,6.46320,7.51280,0.9998,0.5803
2017-04-30,3440.00000,2137.00000,1303.00000,-1049.00000,1049.00000,254.00000,-16.00000,238.00000,95.00000,143.00000,143.00000,143.00000,377.00000,254.00000,399.00000,400.00000,0.36000,0.36000,1.78930,0.30360,0.45950,37.87790,7.38370,7.38370,6.91860,4.15700,0.46420,1.08980,4.99650,4.99650,1.92960,3.47930,7.22730,0.22750,-0.04750
2017-01-31,4429.00000,2928.00000,1501.00000,-1200.00000,1200.00000,301.00000,-16.00000,285.00000,65.00000,220.00000,220.00000,220.00000,501.00000,301.00000,399.00000,400.00000,0.55000,0.55000,1.75910,0.30060,0.45210,33.89030,6.79610,6.79610,6.43490,4.96730,0.58200,1.60000,7.57580,7.57580,2.89090,5.29870,7.27820,2.2975,1.945
2016-10-31,3798.00000,2305.00000,1493.00000,-1104.00000,1104.00000,389.00000,-17.00000,372.00000,168.00000,204.00000,204.00000,204.00000,519.00000,389.00000,399.00000,400.00000,0.51000,0.51000,1.60240,0.32620,0.63980,39.31020,10.24220,10.24220,9.79460,5.37120,0.47430,0.96120,7.48350,7.48350,2.54780,5.04200,6.83210,0.1604,-0.1204
2016-07-31,3851.00000,2414.00000,1437.00000,-1158.00000,1158.00000,279.00000,-16.00000,263.00000,138.00000,125.00000,125.00000,125.00000,419.00000,279.00000,398.00000,399.00000,0.31000,0.31000,1.54660,0.34050,0.68190,37.31500,7.24490,7.24490,6.82940,3.24590,0.49770,1.23730,4.88470,4.88470,1.61560,3.22160,6.42960,1.4185,1.0902
2016-04-30,3438.00000,2229.00000,1209.00000,-987.00000,987.00000,222.00000,-18.00000,204.00000,77.00000,127.00000,127.00000,127.00000,354.00000,222.00000,398.00000,399.00000,0.32000,0.32000,1.54400,0.34320,0.69070,35.16580,6.45720,6.45720,5.93370,3.69400,0.45800,1.13840,5.03570,5.03570,1.69180,3.30730,6.33670,0.42110,0.07270
2016-01-31,4385.00000,2945.00000,1440.00000,-1085.00000,1085.00000,355.00000,-15.00000,340.00000,126.00000,214.00000,214.00000,214.00000,492.00000,355.00000,411.00000,413.00000,0.53000,0.54000,1.57200,0.33980,0.68020,32.83920,8.09580,8.09580,7.75370,4.88030,0.58680,1.57230,8.40860,8.40860,2.86360,5.55120,6.41060,2.0606,1.5404
2015-10-31,3857.00000,2417.00000,1440.00000,-1026.00000,1026.00000,414.00000,-18.00000,396.00000,148.00000,248.00000,248.00000,248.00000,541.00000,414.00000,406.00000,408.00000,0.61000,0.61000,1.57550,0.33780,0.67150,37.33470,10.73370,10.73370,10.26710,6.42990,0.49410,0.96760,9.50560,9.50560,3.17700,6.29440,6.45790,0.2631,-0.2545
2015-07-31,3898.00000,2440.00000,1458.00000,-1089.00000,1089.00000,369.00000,-16.00000,353.00000,134.00000,219.00000,219.00000,219.00000,499.00000,369.00000,417.00000,418.00000,0.53000,0.52000,1.80720,0.33210,0.50470,37.40380,9.46640,9.46640,9.05590,5.61830,0.53490,1.21700,8.19920,8.19920,3.00540,5.47640,6.51460,1.0383,0.6719
2015-04-30,3657.00000,2275.00000,1382.00000,-996.00000,996.00000,386.00000,-4.00000,382.00000,143.00000,239.00000,239.00000,239.00000,519.00000,386.00000,421.00000,424.00000,0.57000,0.56000,1.89420,0.31620,0.46960,37.79050,10.55510,10.55510,10.44570,6.53540,0.48790,1.13180,8.30150,8.30150,3.18880,5.67700,6.87110,0.49760,0.14390
2015-01-31,4708.00000,3050.00000,1658.00000,-1139.00000,1139.00000,519.00000,-17.00000,502.00000,183.00000,319.00000,319.00000,319.00000,654.00000,519.00000,435.00000,440.00000,0.75000,0.74000,1.93240,0.30870,0.45360,35.21670,11.02380,11.02380,10.66270,6.77570,0.61220,1.61460,10.69390,10.69390,4.14820,7.39280,7.08550,2.2894,1.8273
2014-10-31,3972.00000,2376.00000,1596.00000,-1042.00000,1042.00000,554.00000,-18.00000,536.00000,185.00000,351.00000,351.00000,351.00000,679.00000,554.00000,432.00000,437.00000,0.81000,0.80000,1.71410,0.32230,0.48340,40.18130,13.94760,13.94760,13.49450,8.83690,0.50800,0.93070,12.29420,12.29420,4.48910,8.33140,6.73350,0.3009,-0.1174
2014-07-31,3981.00000,2412.00000,1569.00000,-1002.00000,1002.00000,567.00000,-18.00000,549.00000,217.00000,332.00000,332.00000,332.00000,689.00000,567.00000,439.00000,443.00000,0.76000,0.75000,1.87620,0.31730,0.47280,39.41220,14.24270,14.24270,13.79050,8.33960,0.51850,1.23820,11.26950,11.26950,4.32400,7.69410,6.78800,1.1108,1.0027
2014-04-30,3774.00000,2308.00000,1466.00000,-1023.00000,1023.00000,443.00000,-17.00000,426.00000,166.00000,260.00000,260.00000,260.00000,561.00000,443.00000,445.00000,451.00000,0.58000,0.58000,1.96100,0.31080,0.45880,38.84470,11.73820,11.73820,11.28780,6.88920,0.49040,1.20900,8.56390,8.56390,3.37880,5.90240,6.85330,1.13750,0.77830
2014-01-31,4575.00000,2982.00000,1593.00000,-1071.00000,1071.00000,522.00000,-18.00000,504.00000,197.00000,307.00000,307.00000,307.00000,643.00000,522.00000,461.00000,467.00000,0.68000,0.67000,1.81190,0.30900,0.45530,34.81970,11.40980,11.40980,11.01640,6.71040,0.58290,1.54670,10.02610,10.02610,3.91130,6.92850,6.86550,1.6147,1.2206
2013-10-31,3976.00000,2387.00000,1589.00000,-1013.00000,1013.00000,576.00000,-20.00000,556.00000,219.00000,337.00000,337.00000,337.00000,690.00000,576.00000,463.00000,468.00000,0.73000,0.72000,1.66860,0.29670,0.42190,39.96480,14.48690,14.48690,13.98390,8.47590,0.51070,0.96600,11.40050,11.40050,4.32830,8.01810,6.58350,0.2245,-0.1502
2013-07-31,3868.00000,2301.00000,1567.00000,-1046.00000,1046.00000,521.00000,-18.00000,503.00000,200.00000,303.00000,303.00000,303.00000,638.00000,521.00000,468.00000,473.00000,0.65000,0.64000,2.01320,0.26500,0.36060,40.51190,13.46950,13.46950,13.00410,7.83350,0.48840,1.25260,8.76230,8.76230,3.82580,6.44000,7.38890,1.056,0.7107
2013-04-30,3729.00000,2185.00000,1544.00000,-1014.00000,1014.00000,530.00000,,530.00000,197.00000,333.00000,333.00000,333.00000,648.00000,530.00000,464.00000,471.00000,0.72000,0.71000,1.96530,0.28290,0.39450,41.40520,14.21290,14.21290,14.21290,8.93000,0.50130,1.26810,10.53460,10.53460,4.47640,7.55440,6.78330,0.75580,0.43520
2013-01-31,4725.00000,2949.00000,1776.00000,-1174.00000,1174.00000,602.00000,-18.00000,584.00000,233.00000,351.00000,351.00000,351.00000,722.00000,602.00000,482.00000,488.00000,0.73000,0.74000,1.76280,0.30100,0.43050,37.58730,12.74070,12.74070,12.35980,7.42860,0.63250,1.67750,12.12850,12.12850,4.69880,8.47830,6.25050,1.457,1.0266
2012-10-31,3864.00000,2271.00000,1593.00000,-1073.00000,1073.00000,520.00000,-21.00000,499.00000,191.00000,308.00000,308.00000,308.00000,638.00000,520.00000,481.00000,488.00000,0.64000,0.63000,1.83900,0.28270,0.39480,41.22670,13.45760,13.45760,12.91410,7.97100,0.48260,1.00090,9.74380,9.74380,3.84660,6.98890,6.58540,0.5346,0.2195
2012-07-31,3575.00000,2148.00000,1427.00000,-1002.00000,1002.00000,425.00000,-20.00000,405.00000,162.00000,243.00000,243.00000,243.00000,547.00000,425.00000,486.00000,491.00000,0.50000,0.49000,2.02860,0.35080,0.55690,39.91610,11.88810,11.88810,11.32870,6.79720,0.46660,1.28780,8.38510,8.38510,3.17190,5.44350,6.05010,1.2388,0.9335
2012-04-30,3487.00000,2112.00000,1375.00000,-980.00000,980.00000,395.00000,-22.00000,373.00000,140.00000,233.00000,233.00000,233.00000,518.00000,395.00000,489.00000,494.00000,0.48000,0.47000,2.16410,0.34170,0.53860,39.43220,11.32780,11.32780,10.69690,6.68200,0.46050,1.32750,7.72290,7.72290,3.07710,5.08400,6.14460,0.73680,0.43720
2012-01-31,4283.00000,2878.00000,1405.00000,-1033.00000,1033.00000,372.00000,-22.00000,350.00000,132.00000,218.00000,218.00000,218.00000,496.00000,372.00000,529.00000,533.00000,0.44000,0.43000,2.02490,0.36830,0.60440,32.80410,8.68550,8.68550,8.17180,5.08990,0.57710,1.78200,7.91290,7.91290,2.93720,4.99890,5.68040,1.2938,1.0895
2011-10-31,3585.00000,2271.00000,1314.00000,-968.00000,968.00000,346.00000,-21.00000,325.00000,132.00000,193.00000,193.00000,193.00000,473.00000,346.00000,503.00000,505.00000,0.38000,0.38000,1.83480,0.37660,0.62350,36.65270,9.65130,9.65130,9.06560,5.38350,0.46820,0.97800,7.25840,7.25840,2.52060,4.52520,5.43760,0.2377,-0.1072
2011-07-31,3386.00000,2135.00000,1251.00000,-917.00000,917.00000,334.00000,-21.00000,313.00000,124.00000,189.00000,189.00000,189.00000,460.00000,334.00000,542.00000,545.00000,0.35000,0.35000,2.16910,0.33950,0.52780,36.94630,9.86410,9.86410,9.24390,5.58180,0.43380,1.22000,6.04990,6.04990,2.42120,3.99580,5.92790,0.6328,0.3699
2011-04-30,3295.00000,1991.00000,1304.00000,-918.00000,918.00000,386.00000,-5.00000,381.00000,148.00000,233.00000,233.00000,233.00000,515.00000,386.00000,583.00000,588.00000,0.40000,0.40000,2.33010,0.24840,0.33120,39.57510,11.71470,11.71470,11.56300,7.07130,0.41050,1.16230,6.17870,6.17870,2.90270,4.64420,6.62740,0.39290,0.17690
2011-01-31,4364.00000,2695.00000,1669.00000,-1076.00000,1076.00000,593.00000,4.00000,597.00000,232.00000,365.00000,365.00000,365.00000,726.00000,593.00000,636.00000,641.00000,0.59000,0.59000,1.87400,,0.00070,38.24470,13.58850,13.58850,13.68010,8.36390,0.61770,1.66360,8.94610,8.94610,5.16630,8.94610,6.93880,1.2255,1.0163
2010-10-31,3654.00000,2149.00000,1505.00000,-1001.00000,1001.00000,504.00000,-2.00000,502.00000,199.00000,303.00000,303.00000,303.00000,644.00000,504.00000,622.00000,626.00000,0.49000,0.48000,1.85610,,0.00070,41.18770,13.79310,13.79310,13.73840,8.29230,0.47280,0.99490,6.97510,6.97510,3.92080,6.97510,7.05190,0.6657,0.387
2010-07-31,3317.00000,2003.00000,1314.00000,-917.00000,917.00000,397.00000,1.00000,398.00000,164.00000,234.00000,234.00000,234.00000,539.00000,397.00000,646.00000,651.00000,0.36000,0.36000,1.99750,,,39.61410,11.96870,11.96870,11.99880,7.05460,0.45390,1.22730,5.40790,5.40790,3.20200,5.40790,6.86830,0.3428,0.1201
2010-04-30,3329.00000,1928.00000,1401.00000,-927.00000,927.00000,474.00000,11.00000,485.00000,183.00000,302.00000,302.00000,302.00000,621.00000,474.00000,668.00000,676.00000,0.45000,0.45000,2.23050,,,42.08470,14.23850,14.23850,14.56890,9.07180,0.41900,1.25680,6.15450,6.15450,3.80110,6.15450,7.35680,0.48670,0.32840
2010-01-31,4236.00000,2563.00000,1673.00000,-1086.00000,1086.00000,587.00000,,587.00000,235.00000,352.00000,352.00000,352.00000,729.00000,587.00000,694.00000,699.00000,0.51000,0.50000,2.18860,,,39.49480,13.85740,13.85740,13.85740,8.30970,0.53050,1.73530,7.19690,7.19690,4.40830,7.19690,7.23520,1.1218,0.9594
2009-10-31,3589.00000,2065.00000,1524.00000,-1024.00000,1024.00000,500.00000,,500.00000,193.00000,307.00000,307.00000,307.00000,647.00000,500.00000,698.00000,704.00000,0.44000,0.44000,2.04280,,,42.46310,13.93150,13.93150,13.93150,8.55390,0.42570,1.03300,6.16340,6.16340,3.64180,6.16340,7.16690,0.6078,0.481
2009-07-31,3245.00000,1957.00000,1288.00000,-913.00000,913.00000,375.00000,1.00000,376.00000,148.00000,228.00000,228.00000,228.00000,516.00000,375.00000,697.00000,700.00000,0.33000,0.33000,2.16950,,,39.69180,11.55620,11.55620,11.58710,7.02620,0.42120,1.32860,4.80510,4.80510,2.95910,4.80510,6.80770,0.7388,0.642
2009-04-30,3127.00000,1888.00000,1239.00000,-886.00000,886.00000,353.00000,,353.00000,138.00000,215.00000,215.00000,215.00000,496.00000,353.00000,695.00000,697.00000,0.31000,0.31000,2.23680,,,39.62260,11.28880,11.28880,11.28880,6.87560,0.43300,1.35530,4.73570,4.73570,2.97740,4.73570,6.52300,0.28980,0.19940
2009-01-31,4082.00000,2693.00000,1389.00000,-991.00000,991.00000,398.00000,3.00000,401.00000,158.00000,243.00000,243.00000,243.00000,544.00000,398.00000,716.00000,719.00000,0.34000,0.33000,1.85590,,0.01140,34.02740,9.75010,9.75010,9.82360,5.95300,0.53970,1.78820,5.53910,5.53910,3.21260,5.53910,6.32130,1.9638,1.3658
