Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2016-06-30,0.35600,0.42500,-0.06900,2.93700,3.69400,,6.63100,-6.70000,-0.81100,-7.51100,,-7.51100,-7.51100,,-7.51100,-6.57000,-6.70000,3.12240,3.12240,-2.37930,-2.37930,7.80220,,-19.38200,-1882.02200,-1882.02200,-2109.83200,-2109.83200,0.00800,0.36640,0.11220,802.16290,-53.76910,-57.26590,-16.93770,-53.76910,4.47380,-1.1991,-1.2352
2016-03-31,0.25400,0.40400,-0.15000,0.99300,2.86100,,3.85400,-4.00400,0.23000,-3.77400,,-3.77400,-3.77400,,-3.77400,-3.88100,-4.00400,3.12240,3.12240,-1.18960,-1.18960,9.35830,,-59.05510,-1576.37800,-1576.37800,-1485.82700,-1485.82700,0.00520,0.26340,0.07740,1163.26800,,-19.16710,-7.75200,-18.35250,,-1.31340,-1.41820
2015-12-31,0.26700,0.68900,-0.42200,2.29400,4.11400,,6.40800,-6.83000,-0.95000,-7.78000,,-7.78000,-7.78000,,-7.78000,-6.67700,-6.83000,3.10350,3.10350,-2.51920,-2.51920,9.68020,,-158.05240,-2558.05200,-2558.05200,-2913.85700,-2913.85700,0.00510,0.40170,0.09170,981.57310,-33.14870,-34.46440,-14.81260,-33.14870,7.51670,-1.5928,-1.6182
2015-09-30,0.10200,0.82400,-0.72200,0.83600,2.80500,,3.64100,-4.36300,0.59700,-3.76600,,-3.76600,-3.76600,,-3.76600,-4.24300,-4.36300,3.11540,3.11540,-1.18960,-1.18960,15.88500,,-707.84310,-4277.45100,-4277.45100,-3692.15700,-3692.15700,0.00180,0.50270,0.05080,1772.64700,-12.32730,-12.69600,-6.74750,-12.32730,9.78420,-1.6716,-1.7127
2015-06-30,0.16500,0.83100,-0.66600,1.49400,3.40600,,4.90000,-5.56600,1.43400,-4.13200,,-4.13200,-4.13200,,-4.13200,-5.45100,-5.56600,3.09690,3.09690,-1.32960,-1.32960,15.19830,,-403.63640,-3373.33300,-3373.33300,-2504.24200,-2504.24200,0.00270,0.46870,0.07920,1136.72700,-12.27830,-12.61870,-6.73910,-12.27830,10.81770,-1.5028,-1.5376
2015-03-31,0.06700,0.17500,-0.10800,1.39700,2.96300,,4.36000,-4.46800,-1.52500,-5.99300,,-5.99300,-5.99300,-0.41700,-6.41000,-4.35300,-4.46800,3.07950,3.07950,-2.09940,-2.09940,16.05690,,-161.19400,-6668.65600,-6668.65600,-8944.77600,-9567.16400,0.00100,0.08760,0.03220,2795.37300,,-16.54660,-9.13070,-16.13230,,-1.54860,-1.56840
2014-12-31,0.12400,1.14200,-1.01800,1.49600,4.07200,,5.56800,-6.58600,-0.50800,-7.09400,,-7.09400,-7.09400,,-7.09400,-6.49800,-6.58600,2.84940,2.84940,-2.65920,-2.65920,17.57690,,-820.96780,-5311.29100,-5311.29200,-5720.96800,-5720.96800,0.00170,0.80370,0.05580,1613.46800,-16.54730,-16.92270,-9.97450,-16.54730,13.92140,-1.8086,-1.7967
2014-09-30,0.04600,0.75000,-0.70400,1.02700,3.49200,,4.51900,-5.22300,0.20600,-5.01700,,-5.01700,-5.01700,,-5.01700,-5.07300,-5.22300,3.04350,3.04350,-1.67950,-1.67950,26.03610,0.00290,-1530.43500,-11354.35000,-11354.35000,-10906.52000,-10906.52000,0.00060,0.49600,0.01950,4609.56500,,-10.50770,-6.63650,-10.30380,,-1.4289,-1.4759
2014-06-30,0.03900,0.72300,-0.68400,1.36100,3.10600,,4.46700,-5.15100,-0.87800,-6.02900,,-6.02900,-6.02900,0.01400,-6.01500,-5.01400,-5.15100,3.04350,3.04350,-1.95940,-1.95940,24.96070,,-1753.84600,-13207.69000,-13207.69000,-15458.97000,-15423.08000,0.00050,0.55150,0.01520,5916.92300,-11.49960,-11.71540,-7.51740,-11.49960,17.22470,-1.1142,-1.1746
2014-03-31,0.05000,0.17000,-0.12000,1.46500,2.88200,,4.34700,-4.46700,3.73200,-0.73500,,-0.73500,-0.73500,-0.01400,-0.74900,-4.35000,-4.46700,2.25050,2.25050,-0.34990,-0.34990,15.68160,0.00550,-240.00000,-8934.00000,-8934.00000,-1470.00000,-1498.00000,0.00060,0.21010,0.02040,4419.00000,,-1.30500,-0.84980,-1.28250,,-1.43650,-1.46940
2013-12-31,,,,0.74500,1.44600,,,-2.19100,1.64000,-0.53200,0.00000,-0.53200,-0.53200,-0.18000,-0.71200,-2.11000,-2.19100,2.03490,2.03490,-0.34990,-0.34990,5.96390,,,,,,,,,,,2.68630,2.55670,-3.58830,2.68630,-9.23050,-1.7219,-1.7522
2013-09-30,,,,1.17300,1.12900,,,-2.30200,-0.12200,-2.42400,,-2.42400,-2.42400,-4.74200,-7.16600,-2.17100,-2.30200,2.31740,2.31740,-3.07910,-3.07910,,,,,,,,,,,,,,,,,-1.2724,-1.3218
2013-06-30,,,,0.97900,0.72000,,,-1.69900,-1.55300,-3.25200,,-3.25200,-3.25200,-1.08300,-4.33500,-1.64000,-1.69900,2.25080,2.25080,-1.95940,-1.95940,,,,,,,,,,,,,,,,,-1.0522,-1.093
2013-03-31,,,,0.75700,0.65100,,,-1.40800,-0.88500,-2.29300,,-2.29300,-2.29300,-0.84500,-3.13800,-1.34300,-1.40800,2.24450,2.24450,-1.39960,-1.39960,,,,,,,,,,,,,,,,,-0.74000,-0.75120
2012-12-31,,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2011-12-31,,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
