Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,operating-cash-flow-per-share,free-cash-flow-per-share
2013-06-30,6.72400,5.20000,1.52400,7.36000,,7.36000,-5.83600,-4.71000,-10.56000,-1.05000,-9.51000,-9.26100,0.00000,-9.26100,-5.83600,-5.83600,5.00600,5.00600,-1.85000,-1.85000,0.37510,0.73570,5.45580,22.60560,-86.79360,-86.79360,-157.04940,-137.73050,0.01430,1.47730,0.88710,101.45750,-17.62660,-17.62660,-1.96340,-4.65940,-4.3188,-8.5238
2012-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,1.5067,6.9898
2012-06-30,5.95000,3.51000,2.44000,4.03000,,4.03000,-1.59000,-1.77000,-3.37000,1.11000,-4.48000,-4.48600,0.00000,-4.48600,-1.59000,-1.59000,4.98440,4.98440,-0.90000,-0.90000,0.47710,0.53200,1.65070,40.84030,-26.72270,-26.72270,-56.63870,-75.39500,0.01380,1.32450,2.41870,37.21010,-4.93890,-4.93780,-1.04240,-2.31120,-1.5067,-6.9898
2011-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,1.9167,9.4953
2011-06-30,9.56200,6.17000,3.39200,2.82000,,2.82000,0.57200,-0.97000,-0.40000,0.68000,-1.08000,-1.09100,0.00000,-1.09100,0.57200,0.57200,4.54960,4.54960,-0.25000,-0.25000,0.48020,0.44740,1.03100,35.45280,5.98200,5.98200,-4.18320,-11.40980,0.02740,3.06970,2.28760,39.34320,-1.30140,-1.30130,-0.31300,-0.71920,-1.9167,-9.4953
2010-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0.0,0.0
2010-09-30,3.66400,,3.66400,,,,3.66400,,3.66400,,3.66400,-3.23500,0.00000,-3.23500,3.66400,3.66400,4.49360,4.49360,-0.70000,-0.70000,,,,100.00000,100.00000,100.00000,100.00000,-88.29150,,,,,,,,,0.0,0.0
2010-06-30,3.66400,2.31000,1.35400,3.70000,,3.70000,-2.34600,-0.56000,-2.91000,0.31000,-3.22000,-3.23500,0.00000,-3.23500,-2.34600,-2.34600,4.49360,4.49360,-0.70000,-0.70000,0.24800,0.30090,0.48360,36.57210,-64.02840,-64.02840,-79.42140,-88.29150,0.01390,1.50000,3.24250,27.75660,-3.89620,-3.89570,-1.22520,-2.72400,0.0,0.0
2009-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0.0,0.0
2009-06-30,1.90300,1.81000,0.09300,1.88000,,1.88000,-1.78700,-0.42000,-2.21000,0.10000,-2.31000,-2.19900,0.00100,-2.19800,-1.78700,-1.78700,4.22460,4.22460,-0.50000,-0.50000,1.93750,0.19140,0.23680,4.72940,-93.90440,-93.90440,-116.13240,-115.50180,0.01380,2.20730,,,-3.55710,-3.55650,-1.59530,-2.87560,0.0,0.0
